workerid	trial_number	trial_type	distractor_proportion	feature	target_proportion	incorrect_clicks	species	incorrect_labels	genus	response
0	0	familiarization	0.5	fangs	0.5	0	fish	[]	lide	Lides
0	1	familiarization	0.5	fangs	0.5	0	fish	[]	moge	Moges
0	2	generic	0.5	fangs	0.5	NA	fish	NA	lide	0.45
0	3	generic	0.5	fangs	0.5	NA	fish	NA	moge	0.48
0	4	familiarization	0.9	crest	0.5	0	bird	[]	wug	wugs
0	5	familiarization	0.5	crest	0.9	0	bird	[]	mulb	mulbs
0	6	generic	0.5	crest	0.9	NA	bird	NA	mulb	0.94
0	7	generic	0.9	crest	0.5	NA	bird	NA	wug	0.48
0	8	familiarization	0.1	spots	0.5	0	flower	[]	blim	Blims
0	9	familiarization	0.5	spots	0.1	0	flower	[]	fing	Fings
0	10	generic	0.1	spots	0.5	NA	flower	NA	blim	0.51
0	11	generic	0.5	spots	0.1	NA	flower	NA	fing	0.07
1	0	familiarization	0.9	whiskers	0.5	0	fish	[]	quog	quogs
1	1	familiarization	0.5	whiskers	0.9	0	fish	[]	monx	monxes
1	2	generic	0.9	whiskers	0.5	NA	fish	NA	quog	0.5
1	3	generic	0.5	whiskers	0.9	NA	fish	NA	monx	0.75
1	4	familiarization	0.5	spots	0.5	0	flower	[]	fep	feps
1	5	familiarization	0.5	spots	0.5	0	flower	[]	tig	tigs
1	6	generic	0.5	spots	0.5	NA	flower	NA	tig	0.5
1	7	generic	0.5	spots	0.5	NA	flower	NA	fep	0.5
1	8	familiarization	0.1	tail	0.5	0	bird	[]	snim	snims
1	9	familiarization	0.5	tail	0.1	0	bird	[]	mone	mones
1	10	generic	0.5	tail	0.1	NA	bird	NA	mone	0.1
1	11	generic	0.1	tail	0.5	NA	bird	NA	snim	0.53
2	0	familiarization	0.5	tail	0.5	0	bird	[]	mork	Morks
2	1	familiarization	0.5	tail	0.5	0	bird	[]	zib	Zibs
2	2	generic	0.5	tail	0.5	NA	bird	NA	zib	0.3
