workerid	trial_number	trial_type	distractor_proportion	feature	target_proportion	sentence_type	incorrect_clicks	species	incorrect_labels	genus	response	language	enjoyment	age	sex	assess	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject
0	0	familiarization	0.5	fangs	0.5	NA	0	fish	[]	zib	zibs	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	1	familiarization	0.5	fangs	0.5	NA	0	fish	[]	moge	moges	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	2	sentences	0.5	fangs	0.5	sometimes	NA	fish	NA	zib	0.59	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	2	sentences	0.5	fangs	0.5	always	NA	fish	NA	zib	0.02	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	2	sentences	0.5	fangs	0.5	negation	NA	fish	NA	zib	0.02	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	2	sentences	0.5	fangs	0.5	usually	NA	fish	NA	zib	0.49	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	2	sentences	0.5	fangs	0.5	generic	NA	fish	NA	zib	0.73	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	3	sentences	0.5	fangs	0.5	usually	NA	fish	NA	moge	0.5	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	3	sentences	0.5	fangs	0.5	generic	NA	fish	NA	moge	0.64	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
0	3	sentences	0.5	fangs	0.5	always	NA	fish	NA	moge	0.02	English	1	35	Female	Yes	3	Mac	800	1280	Chrome	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
